'BENIDORM CHESS OPEN “A” (SUPRA 2000)'||||||||||
'Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11'||||||||||
||||||||||
'45'||'Kocak, Ediz'|'GER'|'2115'|'0'|'16219481'|'0'||'Si'|'A'|
'46'||'Minana Menor, Antonio'|'ESP'|'2102'|'2094'|'2218640'|'11540'|'Comunidad Valenciana'|'Si'|'A'|
'47'||'Panjer, Sidney'|'GER'|'2100'|'0'|'16207041'|'0'||'Si'|'A'|
'48'|'CM'|'Lohia, Sohum'|'ENG'|'2096'|'0'|'5819369'|'0'||'No'|'A'|
'49'|'FM'|'Sanchez Manzanares, Jorge Luis'|'PAN'|'2095'|'0'|'6600280'|'0'||'Si'|'A'|
'50'||'Horcajada Reales, Guillermo'|'ESP'|'2084'|'2116'|'2221470'|'12930'|'Madrid'|'Si'|'A'|
'51'||'Achuthan, Dylan'|'NED'|'2081'|'0'|'1057847'|'0'||'Si'|'A'|
'52'||'Minnican, Alan'|'SCO'|'2049'|'0'|'2400987'|'0'||'No'|'A'|
'53'||'Assylov, Miras'|'KAZ'|'2044'|'0'|'13728873'|'0'||'Si'|'A'|
'54'||'Gil Lopez, Alejandro'|'ESP'|'2041'|'2018'|'32065795'|'27847'|'Comunidad Valenciana'|'Si'|'A'|
'55'||'Sarveshwaran V'|'IND'|'2040'|'0'|'25699016'|'0'||'Si'|'A'|
'56'||'Palomo Teruel, Xavier'|'ESP'|'2038'|'2039'|'2202999'|'21471'|'Cataluña'|'No'|'A'|
'57'||'Vignesh B'|'IND'|'2032'|'0'|'35051555'|'0'||'Si'|'A'|
'58'||'Troffiguer, Olivier'|'FRA'|'2016'|'0'|'607835'|'0'||'Si'|'A'|
'59'||'Perez Candelario, Matias'|'ESP'|'2009'|'2021'|'2260034'|'13971'|'Extremadura'|'Si'|'A'|
'60'||'Draghici Flutur, Gavril'|'ESP'|'2004'|'2033'|'1206508'|'5829'|'FEDC - Cataluña'|'No'|'A'|
'61'||'Parramon Ros, Francesc'|'ESP'|'2003'|'2010'|'2252643'|'8963'|'Cataluña'|'Si'|'A'|
'62'||'Unciti Juan, Javier'|'ESP'|'1999'|'2028'|'2216027'|'1271'|'Madrid'|'Si'|'A'|
'63'||'Perez Ruiz, Santiago'|'ESP'|'1966'|'1974'|'22228225'|'15653'|'Castilla y León'|'Si'|'A'|
'64'||'Hiren K G'|'IND'|'1965'|'0'|'35053400'|'0'||'No'|'A'|
'65'||'Clemente Llamero, Roberto'|'ESP'|'1953'|'2007'|'2257696'|'14091'|'FEDC - Castilla L'|'Si'|'A'|
'66'||'O`Neill Y Daneiko, Jose Antonio'|'ESP'|'1952'|'1955'|'2237733'|'549'|'Comunidad Valenciana'|'Si'|'A'|
||||||||||
||||||||||
||||||||||
||||||||||
'BENIDORM CHESS OPEN “A” (SUPRA 2000) - https://info64.org/benidorm-chess-open-a-supra-2000'||||||||||
